dataset,model,method,accuracy,log_loss,brier_score,ece,tilt,seed
breast_cancer,LogisticRegression,Uncalibrated,0.9649122807017544,0.14093627760526903,0.029224426948254785,0.031053544271648546,-0.007425222105467193,47
breast_cancer,LogisticRegression,Platt,0.9649122807017544,0.12555077552534843,0.029660113153931314,0.015671763282943094,0.022756746751223033,47
breast_cancer,LogisticRegression,Isotonic,0.9649122807017544,0.3743854800027342,0.030186410242961922,0.025142356412156473,-0.016120407085133466,47
breast_cancer,RandomForest,Uncalibrated,0.9473684210526315,0.16261777985551729,0.04045,0.04652046783625733,0.03291123733155148,47
breast_cancer,RandomForest,Platt,0.9473684210526315,0.14888171583082485,0.03776038372271682,0.034284100877536666,0.029957118502393312,47
breast_cancer,RandomForest,Isotonic,0.9473684210526315,0.6707257331527772,0.038547790900127346,0.03263052015607993,-0.021531822025213476,47
diabetes,LogisticRegression,Uncalibrated,0.7532467532467533,0.49125843242991757,0.16334797701732587,0.08549369111690892,-0.0661018791027089,47
diabetes,LogisticRegression,Platt,0.7467532467532467,0.4994393203041324,0.16662204974507283,0.07339798473048767,-0.08965657579853603,47
diabetes,LogisticRegression,Isotonic,0.7662337662337663,0.500345365584284,0.16506667702624672,0.06882724915874465,-0.07675361528591076,47
diabetes,RandomForest,Uncalibrated,0.7467532467532467,0.5127669771430287,0.17241673881673883,0.034978354978355,-0.01669217687074833,47
diabetes,RandomForest,Platt,0.7467532467532467,0.5197243754811993,0.17330323291259567,0.04936451234366478,-0.08095860041030085,47
diabetes,RandomForest,Isotonic,0.7467532467532467,1.155288797536883,0.17791072505539585,0.0798226196330165,-0.13601358147965753,47
breast_cancer,LogisticRegression,Uncalibrated,0.9736842105263158,0.09097341471602509,0.023783254339295245,0.027602464032208947,0.01837554374822486,48
breast_cancer,LogisticRegression,Platt,0.9736842105263158,0.10227912924776345,0.0236096693182536,0.02417126391535005,0.024410974559361476,48
breast_cancer,LogisticRegression,Isotonic,0.9649122807017544,0.1002194323847221,0.02738009578862402,0.030653966583801734,-0.0430485925372495,48
breast_cancer,RandomForest,Uncalibrated,0.9473684210526315,0.14246862839449514,0.03637222222222222,0.0513157894736842,0.05057017543859646,48
breast_cancer,RandomForest,Platt,0.9385964912280702,0.13439566050139143,0.03283050924475853,0.061906680700293676,0.03542698395176529,48
breast_cancer,RandomForest,Isotonic,0.9473684210526315,0.38666957965561116,0.034144439326777014,0.041681898332053935,-0.007026216320944048,48
diabetes,LogisticRegression,Uncalibrated,0.7597402597402597,0.4725317177113196,0.1558695609636627,0.07371079045568159,-0.09144847232020356,48
diabetes,LogisticRegression,Platt,0.7597402597402597,0.49207794831851537,0.16280064752920753,0.10135022791145322,-0.15547387843424487,48
diabetes,LogisticRegression,Isotonic,0.7597402597402597,0.8821352124555238,0.16023115088282586,0.08599651912491621,-0.18371337479130279,48
diabetes,RandomForest,Uncalibrated,0.8181818181818182,0.41957779380073756,0.13363636363636364,0.08103896103896105,0.16356060606060607,48
diabetes,RandomForest,Platt,0.8246753246753247,0.41987242375875994,0.13212558717039935,0.08829230388804565,0.12897752872333756,48
diabetes,RandomForest,Isotonic,0.8246753246753247,0.4061432959579934,0.13303472803145083,0.07550084166034339,0.11002900654013267,48
breast_cancer,LogisticRegression,Uncalibrated,0.9912280701754386,0.07904951842942758,0.016389384411750484,0.029714612808923863,0.0513814353266435,49
breast_cancer,LogisticRegression,Platt,0.9912280701754386,0.0671385368721723,0.011775143292960366,0.018768850419029724,0.03957719067823401,49
breast_cancer,LogisticRegression,Isotonic,0.9912280701754386,0.30720161470312785,0.010055862786437638,0.012127905068960504,-0.004367381896461972,49
breast_cancer,RandomForest,Uncalibrated,0.9736842105263158,0.10415031473839367,0.02679639376218324,0.06038011695906434,0.10022819085052954,49
breast_cancer,RandomForest,Platt,0.956140350877193,0.08244856387228176,0.02276069902761463,0.04518816009305463,0.00833623791072669,49
breast_cancer,RandomForest,Isotonic,0.956140350877193,0.05705080430044598,0.020479602816557158,0.03037661002349982,-0.019106647538341077,49
diabetes,LogisticRegression,Uncalibrated,0.8116883116883117,0.45777477951368994,0.14902264524571213,0.09617855754890113,0.12506673098722926,49
diabetes,LogisticRegression,Platt,0.8051948051948052,0.47361776898918134,0.1537093963302284,0.09488069113622093,0.03575868279250452,49
diabetes,LogisticRegression,Isotonic,0.7987012987012987,0.6996563230079019,0.1604682413362557,0.11873713151721804,-0.04482155564777869,49
diabetes,RandomForest,Uncalibrated,0.7402597402597403,0.47373760243024093,0.15903347763347764,0.08515151515151514,-0.0085602240896359,49
diabetes,RandomForest,Platt,0.7337662337662337,0.5062206625758265,0.17229334727753048,0.11149467578171555,-0.12366456456654143,49
diabetes,RandomForest,Isotonic,0.7402597402597403,0.7209852371042492,0.18123491781837384,0.14898322075344891,-0.19478953571500124,49
breast_cancer,LogisticRegression,Uncalibrated,0.9912280701754386,0.03982957098925611,0.008047273156762345,0.034507006786564313,0.05642685777492315,50
breast_cancer,LogisticRegression,Platt,1.0,0.042639457994832645,0.0035040257599599192,0.04066803727462876,0.07323778091926798,50
breast_cancer,LogisticRegression,Isotonic,0.9649122807017544,0.0535678869718368,0.018014908563410405,0.03931323601453917,-0.018137929879240497,50
breast_cancer,RandomForest,Uncalibrated,0.9736842105263158,0.09380014470171781,0.023345614035087718,0.050994152046783606,0.096593514575827,50
breast_cancer,RandomForest,Platt,0.9824561403508771,0.08450595288357063,0.018063905203702213,0.06315721669154883,0.08385168149959718,50
breast_cancer,RandomForest,Isotonic,0.9736842105263158,0.06901962665045562,0.01870186671045399,0.052736235244789126,0.021595451364891056,50
diabetes,LogisticRegression,Uncalibrated,0.8116883116883117,0.4380244977797608,0.1418920656484984,0.07579916151905201,0.12503700131275164,50
diabetes,LogisticRegression,Platt,0.8116883116883117,0.4541012213066495,0.1444190909087536,0.08530451802630298,0.13711824856512803,50
diabetes,LogisticRegression,Isotonic,0.7597402597402597,0.44746462248545,0.15251809202591016,0.0674710249718154,0.06634757014143436,50
diabetes,RandomForest,Uncalibrated,0.8051948051948052,0.43494043043235114,0.1406076479076479,0.08896103896103899,0.13911433172302737,50
diabetes,RandomForest,Platt,0.8181818181818182,0.4581039194590682,0.14559198721072827,0.09681020269917959,0.21142393787318736,50
diabetes,RandomForest,Isotonic,0.8051948051948052,0.8732073968946418,0.1522908162262732,0.10433166935678084,0.15504478790011375,50
breast_cancer,LogisticRegression,Uncalibrated,0.9824561403508771,0.05098218891739957,0.012851876170767525,0.03173941507093521,0.039749657975710374,51
breast_cancer,LogisticRegression,Platt,0.9824561403508771,0.053350535654327895,0.011198242698065984,0.04309302758668172,0.04235453300899068,51
breast_cancer,LogisticRegression,Isotonic,0.9736842105263158,0.0335079928332862,0.01027412567786187,0.02536999208677018,-0.013719535946743269,51
